id,num,img,position
53,3,DSC07279,"(5644.82861328125, 1117.570556640625)",DSC07280,"(5510.6015625, 2439.01806640625)",DSC07281,"(5257.88134765625, 3752.338134765625)"
54,3,DSC07279,"(5918.302734375, 1116.347900390625)",DSC07280,"(5786.68798828125, 2449.69677734375)",DSC07281,"(5533.08544921875, 3765.1435546875)"
55,3,DSC07279,"(5603.9658203125, 1110.7635498046875)",DSC07280,"(5471.53271484375, 2430.7080078125)",DSC07281,"(5217.46923828125, 3742.59912109375)"
56,3,DSC07279,"(5443.7373046875, 1096.235107421875)",DSC07280,"(5309.38525390625, 2409.844482421875)",DSC07281,"(5054.98583984375, 3720.954345703125)"
57,3,DSC07279,"(5405.09033203125, 1095.1346435546875)",DSC07280,"(5270.85498046875, 2407.62451171875)",DSC07281,"(5014.7890625, 3716.825439453125)"
58,3,DSC07279,"(5762.60888671875, 1081.7862548828125)",DSC07280,"(5633.50537109375, 2406.6103515625)",DSC07281,"(5379.6953125, 3719.867431640625)"
59,3,DSC07279,"(5603.60400390625, 1072.0313720703125)",DSC07280,"(5473.03759765625, 2390.650634765625)",DSC07281,"(5216.8681640625, 3700.141845703125)"
60,3,DSC07279,"(5482.99560546875, 1063.0531005859375)",DSC07280,"(5352.18212890625, 2376.498779296875)",DSC07281,"(5095.44140625, 3686.552490234375)"
61,3,DSC07279,"(5409.169921875, 1056.8935546875)",DSC07280,"(5276.91552734375, 2368.588623046875)",DSC07281,"(5019.228515625, 3678.812255859375)"
62,3,DSC07279,"(5646.89306640625, 1040.89306640625)",DSC07280,"(5519.5263671875, 2360.52685546875)",DSC07281,"(5266.0986328125, 3671.34619140625)"
63,3,DSC07279,"(5845.79248046875, 1035.8302001953125)",DSC07280,"(5717.837890625, 2363.966796875)",DSC07281,"(5465.5751953125, 3678.551513671875)"
64,3,DSC07279,"(5332.43017578125, 1033.658203125)",DSC07280,"(5202.14794921875, 2340.216064453125)",DSC07281,"(4944.51953125, 3647.904296875)"
65,3,DSC07279,"(5612.02197265625, 1033.9598388671875)",DSC07280,"(5482.02978515625, 2352.35205078125)",DSC07281,"(5228.62158203125, 3663.570068359375)"
66,3,DSC07279,"(5770.39208984375, 1028.9827880859375)",DSC07280,"(5641.64794921875, 2354.070556640625)",DSC07281,"(5388.47265625, 3666.447509765625)"
67,3,DSC07279,"(5488.29052734375, 1027.6080322265625)",DSC07280,"(5358.7177734375, 2339.282958984375)",DSC07281,"(5103.689453125, 3648.238037109375)"
68,3,DSC07279,"(5406.91162109375, 1019.27587890625)",DSC07280,"(5277.0322265625, 2329.01708984375)",DSC07281,"(5019.94580078125, 3637.031494140625)"
69,3,DSC07279,"(5451.060546875, 987.6865844726562)",DSC07280,"(5323.986328125, 2295.6337890625)",DSC07281,"(5068.02490234375, 3603.528564453125)"
70,3,DSC07279,"(5493.06103515625, 985.9248046875)",DSC07280,"(5366.080078125, 2297.341064453125)",DSC07281,"(5112.31787109375, 3607.690673828125)"
71,3,DSC07279,"(5850.12353515625, 984.8839111328125)",DSC07280,"(5726.529296875, 2311.67236328125)",DSC07281,"(5474.1875, 3625.23486328125)"
72,3,DSC07279,"(5771.78759765625, 979.3548583984375)",DSC07280,"(5647.49169921875, 2302.242919921875)",DSC07281,"(5394.8125, 3614.24755859375)"
73,3,DSC07279,"(5657.06591796875, 963.5560302734375)",DSC07280,"(5530.6025390625, 2278.2451171875)",DSC07281,"(5279.99267578125, 3588.405029296875)"
